seed,emotion_accuracy,emotion_macro_f1,domain_accuracy,domain_balanced_accuracy,domain_probe_balanced_accuracy
42,0.5786924939467313,0.6295749103191381,0.4319612590799031,0.5914925718527752,0.8732432042305154
52,0.5665859564164649,0.6065329318427632,0.36319612590799033,0.5504490356774795,0.8887184898005922
62,0.559322033898305,0.5999119930357206,0.4198547215496368,0.587318152469295,0.9361827805672958
72,0.5975786924939467,0.6251396511531876,0.3791767554479419,0.555510609880024,0.9383256597755107
82,0.5733656174334141,0.6173944752540451,0.36368038740920094,0.5427402920864938,0.9345267745952677
